"primaryName","birthYear","deathYear","nconst","nconst_short"
Charles Chaplin,"1889","1977",nm0000122,nm0000122
Robert Ellis,"1892","1974",nm0000252,nm0000252
John Ford,"1894","1973",nm0000406,nm0000406
D.W. Griffith,"1875","1948",nm0000428,nm0000428
Edgar Allan Poe,"1809","1849",nm0000590,nm0000590
William Shakespeare,"1564","1616",nm0000636,nm0000636
Roscoe 'Fatty' Arbuckle,"1887","1933",nm0000779,nm0000779
Theda Bara,"1885","1955",nm0000847,nm0000847
Ethel Barrymore,"1879","1959",nm0000856,nm0000856
John Barrymore,"1882","1942",nm0000858,nm0000858
Lionel Barrymore,"1878","1954",nm0000859,nm0000859
L. Frank Baum,"1856","1919",nm0000875,nm0000875
Wallace Beery,"1885","1949",nm0000891,nm0000891
Cecil B. DeMille,"1881","1959",nm0001124,nm0001124
Lillian Gish,"1893","1993",nm0001273,nm0001273
Oliver Hardy,"1892","1957",nm0001316,nm0001316
Leslie Howard,"1893","1943",nm0001366,nm0001366
Gilbert M. 'Broncho Billy' Anderson,"1880","1971",nm0001908,nm0001908
Maurice Chevalier,"1888","1972",nm0002001,nm0002001
Michael Curtiz,"1886","1962",nm0002031,nm0002031
Jane Darwell,"1879","1967",nm0002034,nm0002034
Charles Dickens,"1812","1870",nm0002042,nm0002042
Maurice Elvey,"1887","1967",nm0002061,nm0002061
Alan Hale,"1892","1950",nm0002118,nm0002118
Alfred Abel,"1879","1937",nm0002154,nm0002154
Hans Albers,"1891","1960",nm0002161,nm0002161
Oscar Apfel,"1878","1938",nm0002177,nm0002177
Erich von Stroheim,"1885","1957",nm0002233,nm0002233
Rex Ingram,"1892","1950",nm0002271,nm0002271
Montagu Love,"1880","1943",nm0002311,nm0002311
Jackson Rose,"1886","1956",nm0002487,nm0002487
Harry Carey,"1878","1947",nm0002503,nm0002503
Herbert Beerbohm Tree,"1852","1917",nm0002504,nm0002504
Siegmund Lubin,"1851","1923",nm0002615,nm0002615
Anita Loos,"1889","1981",nm0002616,nm0002616
Edward J. Montagne,"1885","1932",nm0002771,nm0002771
Moe Howard,"1897","1975",nm0002935,nm0002935
Pedro de Cordoba,"1881","1950",nm0003124,nm0003124
Harry Davenport,"1866","1949",nm0003193,nm0003193
Hank Mann,"1887","1971",nm0003424,nm0003424
Asta Nielsen,"1881","1972",nm0003425,nm0003425
Carl Theodor Dreyer,"1889","1968",nm0003433,nm0003433
Richard Wagner,"1813","1883",nm0003471,nm0003471
Charles Rosher,"1885","1974",nm0003546,nm0003546
Brian Benison,\N,\N,nm0003668,nm0003668
Robert Israel,"1963",\N,nm0004592,nm0004592
Lucien N. Andriot,"1892","1979",nm0005635,nm0005635
Joseph H. August,"1890","1947",nm0005641,nm0005641
André Barlatier,"1882","1943",nm0005646,nm0005646
G.W. Bitzer,"1872","1944",nm0005658,nm0005658
William K.L. Dickson,"1860","1935",nm0005690,nm0005690
Karl Freund,"1890","1969",nm0005713,nm0005713
Fructuós Gelabert,"1874","1955",nm0005717,nm0005717
Willy Hameister,"1889","1938",nm0005736,nm0005736
Julius Jaenzon,"1885","1961",nm0005748,nm0005748
Victor Milner,"1893","1972",nm0005800,nm0005800
Hal Mohr,"1894","1974",nm0005803,nm0005803
Joseph-Louis Mundwiller,"1886","1967",nm0005809,nm0005809
Roy F. Overbaugh,"1882","1966",nm0005818,nm0005818
Sol Polito,"1892","1960",nm0005835,nm0005835
Phil Rosen,"1888","1951",nm0005847,nm0005847
Guido Seeber,"1879","1940",nm0005869,nm0005869
Allen G. Siegler,"1892","1960",nm0005874,nm0005874
Theodor Sparkuhl,"1894","1946",nm0005882,nm0005882
Philip Tannura,"1897","1973",nm0005896,nm0005896
Roland Totheroh,"1890","1967",nm0005906,nm0005906
Alvin Wyckoff,"1877","1957",nm0005931,nm0005931
Giuseppe Becce,"1877","1973",nm0005959,nm0005959
Camille Saint-Saëns,"1835","1921",nm0006269,nm0006269
Victor Schertzinger,"1888","1941",nm0006276,nm0006276
King Baggot,"1879","1948",nm0007215,nm0007215
Maurice Costello,"1877","1950",nm0007221,nm0007221
Henry Cronjager,"1877","1967",nm0007239,nm0007239
Mathaleen Aamold,"1894","1977",nm0007413,nm0007413
A.C. Abadie,"1878","1950",nm0007625,nm0007625
Charles S. Abbe,"1860","1932",nm0007853,nm0007853
May Abbey,"1875","1952",nm0007882,nm0007882
Gypsy Abbott,"1897","1952",nm0007977,nm0007977
Edward Abeles,"1869","1919",nm0008518,nm0008518
Master Abernathy,\N,\N,nm0008658,nm0008658
William L. Abingdon,"1859","1918",nm0008759,nm0008759
Ivan Abramson,"1869","1934",nm0009257,nm0009257
Lawrence Abrott,"1888","1961",nm0009400,nm0009400
Fritz Achterberg,"1880","1971",nm0009872,nm0009872
Edward Acker,\N,\N,nm0009926,nm0009926
Walter Ackerman,"1881","1938",nm0010017,nm0010017
Art Acord,"1890","1931",nm0010134,nm0010134
Birt Acres,"1854","1918",nm0010291,nm0010291
Ilona Cs. Aczél,"1884","1940",nm0010373,nm0010373
Belle Adair,"1889","1918",nm0010420,nm0010420
Claire Adams,"1896","1978",nm0010845,nm0010845
Constance Adams,"1874","1960",nm0010855,nm0010855
Gwil Adams,\N,\N,nm0011004,nm0011004
John Wolcott Adams,"1874","1925",nm0011089,nm0011089
Justin Adams,"1862","1937",nm0011111,nm0011111
Lionel Adams,"1866","1952",nm0011151,nm0011151
Stella Adams,"1883","1961",nm0011370,nm0011370
William S. Adams,"1892","1930",nm0011440,nm0011440
Carlotta Addison,"1849","1914",nm0011700,nm0011700
George Ade,"1866","1944",nm0011748,nm0011748
B. Adler,\N,\N,nm0012108,nm0012108
Jacob P. Adler,"1855","1926",nm0012169,nm0012169
Paul Adler,\N,\N,nm0012216,nm0012216
Sarah Adler,"1858","1953",nm0012238,nm0012238
William F. Adler,"1886","1956",nm0012261,nm0012261
John G. Adolfi,"1881","1933",nm0012317,nm0012317
Lorenzo Adria,\N,\N,nm0012416,nm0012416
Pilar Adriano,\N,\N,nm0012481,nm0012481
Lorenza Adriá,\N,\N,nm0012505,nm0012505
Svend Aggerholm,"1875","1940",nm0013018,nm0013018
Francisco Aguiló,\N,\N,nm0013653,nm0013653
Nils Aréhn,"1877","1928",nm0014363,nm0014363
George L. Aiken,"1830","1876",nm0014571,nm0014571
Raymond Aimos,"1889","1944",nm0014656,nm0014656
Henry Ainley,"1879","1945",nm0014680,nm0014680
James D. Ainsley,\N,\N,nm0014707,nm0014707
Arthur C. Aiston,"1868","1924",nm0014840,nm0014840
H.E. Aitken,"1877","1956",nm0014872,nm0014872
Spottiswoode Aitken,"1867","1933",nm0014894,nm0014894
Juan Alarma,\N,\N,nm0016071,nm0016071
Fernande Albany,"1889","1966",nm0016317,nm0016317
Count Alberti,"1849","1914",nm0016632,nm0016632
Viola Alberti,"1871",\N,nm0016674,nm0016674
Luciano Albertini,"1882","1941",nm0016697,nm0016697
Dan Albert,"1891","1919",nm0016744,nm0016744
Emil Albes,"1861","1923",nm0016799,nm0016799
Ernesto de Albuquerque,"1883","1940",nm0017074,nm0017074
Luis Alcalde,\N,\N,nm0017144,nm0017144
Mary Alden,"1883","1946",nm0017488,nm0017488
Bernd Aldor,"1881","1950",nm0017629,nm0017629
Thomas Bailey Aldrich,"1836","1907",nm0017701,nm0017701
Antonio Alegría,\N,\N,nm0017826,nm0017826
Edna Alexander,\N,\N,nm0018392,nm0018392
Edward Alexander,"1886","1964",nm0018393,nm0018393
Karin Alexandersson,"1878","1948",nm0018814,nm0018814
René Alexandre,"1885","1946",nm0018885,nm0018885
Alexia,\N,\N,nm0018958,nm0018958
Edward M. Alfriend,"1837","1901",nm0019255,nm0019255
Dante Alighieri,"1265","1321",nm0019604,nm0019604
Marcel Allain,"1885","1969",nm0019855,nm0019855
James Allbaugh,\N,\N,nm0020140,nm0020140
Joseph Allen Sr.,"1873","1952",nm0020234,nm0020234
Aileen Allen,"1888","1950",nm0020240,nm0020240
E.H. Allen,"1884","1955",nm0020474,nm0020474
Estelle Allen,"1892","1970",nm0020504,nm0020504
Joseph Allen,\N,\N,nm0020697,nm0020697
Mabel Allen,\N,\N,nm0020791,nm0020791
Margaret Allen,\N,\N,nm0020798,nm0020798
Phyllis Allen,"1861","1938",nm0020914,nm0020914
Ricca Allen,"1863","1949",nm0020947,nm0020947
Richard Allen,"1871","1940",nm0020948,nm0020948
Gyda Aller,\N,\N,nm0021224,nm0021224
Ludovic Halévy,"1834","1908",nm0021283,nm0021283
James Alling,\N,\N,nm0021372,nm0021372
May Allison,"1890","1989",nm0021471,nm0021471
Italia Almirante-Manzini,"1890","1941",nm0021935,nm0021935
Greta Almroth,"1888","1981",nm0022011,nm0022011
Martin Alsop,\N,\N,nm0022554,nm0022554
Carl Alstrup,"1877","1942",nm0022607,nm0022607
Oda Alstrup,"1888","1964",nm0022608,nm0022608
Altmann-Nemo,\N,\N,nm0022962,nm0022962
Hermanos Alva,\N,\N,nm0023107,nm0023107
Hjalmar Alvar,"1877","1940",nm0023121,nm0023121
Pitje Ambreville,\N,\N,nm0024344,nm0024344
Arturo Ambrosio,"1870","1960",nm0024464,nm0024464
Gerald Ames,"1881","1933",nm0024706,nm0024706
José Amigo,\N,\N,nm0024876,nm0024876
Paul Amiot,"1886","1979",nm0024940,nm0024940
Hans Christian Andersen,"1805","1875",nm0026153,nm0026153
Herr Andersen,"1871","1948",nm0026157,nm0026157
Dave Anderson,"1884","1950",nm0026342,nm0026342
Augusta Anderson,"1875","1951",nm0026387,nm0026387
C.E. Anderson,"1882","1956",nm0026474,nm0026474
Carl Anderson,"1865","1948",nm0026485,nm0026485
Claire Anderson,"1895","1964",nm0026526,nm0026526
Ernest Anderson,\N,\N,nm0026696,nm0026696
Mary Anderson,"1897","1986",nm0027159,nm0027159
Mignon Anderson,"1892","1983",nm0027209,nm0027209
Nellie Anderson,"1870","1960",nm0027244,nm0027244
Tom Anderson,\N,\N,nm0027523,nm0027523
Johan Andersson,\N,\N,nm0027708,nm0027708
Fern Andra,"1893","1974",nm0027992,nm0027992
Frank Andrews,"1866","1948",nm0028658,nm0028658
Leonid Andreyev,"1871","1919",nm0028916,nm0028916
Josette Andriot,"1886","1942",nm0029029,nm0029029
Albert Andruss,\N,\N,nm0029139,nm0029139
Mihály Andrássy gróf,\N,\N,nm0029166,nm0029166
Katinka Andrássy grófnö,"1892","1985",nm0029167,nm0029167
Gerda André,"1876","1960",nm0029198,nm0029198
Victor André,\N,\N,nm0029244,nm0029244
Henri Andréani,"1877","1936",nm0029253,nm0029253
Bert Angeles,"1875","1950",nm0029525,nm0029525
Jean Angelo,"1875","1933",nm0029671,nm0029671
François Angely,"1847","1931",nm0029752,nm0029752
Martha Angerstein-Licho,"1885","1932",nm0029806,nm0029806
Johan Ankerstjerne,"1886","1959",nm0030170,nm0030170
Fred Annerly,"1887","1967",nm0030342,nm0030342
George W. Anson,"1847","1920",nm0030660,nm0030660
Master Anson,\N,\N,nm0030667,nm0030667
Annegrethe Antonsen,"1855","1930",nm0030805,nm0030805
Tsuru Aoki,"1892","1961",nm0031834,nm0031834
Roy Applegate,"1878","1950",nm0032402,nm0032402
Aleksei Nikolaevich Apukhtin,\N,\N,nm0032573,nm0032573
Macklyn Arbuckle,"1866","1931",nm0033446,nm0033446
T. Archer,\N,\N,nm0033732,nm0033732
Edwin Arden,"1864","1918",nm0033975,nm0033975
Victor Arfvidson,"1887","1921",nm0034436,nm0034436
José Argelagués,\N,\N,nm0034453,nm0034453
Juan Argelagués,\N,\N,nm0034454,nm0034454
Juan Arguelagues,\N,\N,nm0034548,nm0034548
Señorita Arguimbau,\N,\N,nm0034571,nm0034571
Charles Arling,"1880","1922",nm0035187,nm0035187
Emilio Armengol,\N,\N,nm0035412,nm0035412
Walter Armin,"1878","1959",nm0035482,nm0035482
Frederick S. Armitage,"1874","1933",nm0035502,nm0035502
Jean Armour,"1890",\N,nm0035572,nm0035572
Billy Armstrong,"1891","1924",nm0035627,nm0035627
Paul Armstrong,"1869","1915",nm0035854,nm0035854
R.D. Armstrong,\N,\N,nm0035865,nm0035865
Étienne Arnaud,"1879","1955",nm0036048,nm0036048
Françoise Arnaud,\N,\N,nm0036060,nm0036060
Carlos Arniches,"1866","1943",nm0036298,nm0036298
Cecile Arnold,"1891","1931",nm0036380,nm0036380
John Arnold,"1889","1964",nm0036507,nm0036507
Victor Arnold,"1873","1914",nm0036662,nm0036662
Señora Arquibau,\N,\N,nm0037119,nm0037119
Alexandre Arquillière,"1870","1953",nm0037124,nm0037124
Alberto Arroyo,"1894",\N,nm0037414,nm0037414
Dorothy Arthur,\N,\N,nm0037751,nm0037751
Julia Arthur,"1868","1950",nm0037789,nm0037789
Timothy Shay Arthur,"1809","1885",nm0037843,nm0037843
Walter Arthur,"1875",\N,nm0037849,nm0037849
Linda Arvidson,"1884","1949",nm0038106,nm0038106
Antonia Arévalo,\N,\N,nm0038243,nm0038243
L. As,\N,\N,nm0038260,nm0038260
Florence Ashbrooke,"1861","1934",nm0038700,nm0038700
Josie Ashdown,\N,\N,nm0038798,nm0038798
Max Asher,"1885","1957",nm0038884,nm0038884
Arthur Ashley,"1886","1970",nm0039021,nm0039021
Sylvia Ashton,"1880","1940",nm0039276,nm0039276
Mary Asquith,"1873","1942",nm0039718,nm0039718
Camille Astor,"1896","1944",nm0040086,nm0040086
Josephine Atkinson,"1882","1954",nm0040750,nm0040750
Helen Aubrey,"1869",\N,nm0041404,nm0041404
Carl Auen,"1892","1972",nm0041656,nm0041656
Florence Auer,"1880","1962",nm0041669,nm0041669
Edwin August,"1883","1964",nm0041858,nm0041858
Charles Austin,\N,\N,nm0042347,nm0042347
Jere Austin,"1876","1927",nm0042422,nm0042422
Maurice Auzat,"1890","1966",nm0042694,nm0042694
Charles Avery,"1873","1926",nm0043018,nm0043018
Konstantin Axelsson,"1848","1915",nm0043508,nm0043508
David Aylott,"1885","1969",nm0043881,nm0043881
Agnes Ayres,"1898","1940",nm0043969,nm0043969
James Ayres,\N,\N,nm0043987,nm0043987
Sydney Ayres,"1879","1916",nm0044014,nm0044014
Constance Backner,"1889","1969",nm0045714,nm0045714
Lloyd Bacon,"1889","1955",nm0045800,nm0045800
André Bacqué,"1880","1945",nm0045867,nm0045867
Madame Bartet,"1876","1949",nm0046075,nm0046075
Charles J. Badger,"1853","1932",nm0046080,nm0046080
Helen Badgley,"1908","1977",nm0046108,nm0046108
Baert,\N,\N,nm0046403,nm0046403
Bahier,\N,\N,nm0046885,nm0046885
Consuelo Bailey,"1890",\N,nm0047211,nm0047211
Joseph Bailey,\N,\N,nm0047333,nm0047333
William Bailey,"1886","1962",nm0047534,nm0047534
Rolinda Bainbridge,"1875","1943",nm0047760,nm0047760
Sherman Bainbridge,"1880","1950",nm0047761,nm0047761
Leah Baird,"1883","1971",nm0047889,nm0047889
Dan Baker,\N,\N,nm0048356,nm0048356
Doris Baker,"1907","1998",nm0048408,nm0048408
Friend Baker,"1890","1988",nm0048459,nm0048459
George D. Baker,"1868","1933",nm0048478,nm0048478
Harold Baker,\N,\N,nm0048502,nm0048502
Hettie Grey Baker,"1881","1957",nm0048512,nm0048512
Joseph Baker,\N,\N,nm0048612,nm0048612
Mr. Baker,\N,\N,nm0048786,nm0048786
Mrs. Baker,\N,\N,nm0048787,nm0048787
R.F. Baker,\N,\N,nm0048838,nm0048838
Richard Foster Baker,"1857","1921",nm0048864,nm0048864
Robert M. Baker,"1874","1929",nm0048874,nm0048874
Josep Balaguer,\N,\N,nm0049367,nm0049367
Víctor Balaguer,\N,\N,nm0049370,nm0049370
Frank D. Baldwin,"1842","1923",nm0049905,nm0049905
Ruth Ann Baldwin,"1886",\N,nm0049995,nm0049995
Winnie Baldwin,\N,\N,nm0050022,nm0050022
Augustus Balfour,"1866","1940",nm0050150,nm0050150
Elsie Balfour,\N,\N,nm0050155,nm0050155
Eve Balfour,"1890","1955",nm0050157,nm0050157
Sue Balfour,"1870","1937",nm0050169,nm0050169
Eustace Hale Ball,"1881","1931",nm0050369,nm0050369
Lidia Balogh,"1870","1911",nm0051042,nm0051042
Fred J. Balshofer,"1877","1969",nm0051140,nm0051140
Honoré de Balzac,"1799","1850",nm0051304,nm0051304
Joseph Jay Bamberger,"1878","1961",nm0051419,nm0051419
Gertrude Bambrick,"1893","1974",nm0051445,nm0051445
Herman Bang,"1857","1912",nm0051911,nm0051911
Perry Banks,"1877","1934",nm0052226,nm0052226
Zoya Barantsevich,"1896","1952",nm0053031,nm0053031
Blanche Barat,\N,\N,nm0053065,nm0053065
Giuseppe Barattolo,\N,\N,nm0053119,nm0053119
La Verne Barber,\N,\N,nm0053425,nm0053425
Charlotte Barbier-Krauss,"1877","1938",nm0053639,nm0053639
Edwin Barbour,\N,"1914",nm0053820,nm0053820
Carl Barcklind,"1873","1945",nm0054011,nm0054011
Don Barclay,"1892","1975",nm0054036,nm0054036
Lila Barclay,"1884","1965",nm0054067,nm0054067
Camille Bardou,"1872","1941",nm0054337,nm0054337
Mathilde Baring,"1879","1954",nm0054687,nm0054687
Madeleine Barjac,\N,\N,nm0054736,nm0054736
Florence Barker,"1891","1913",nm0054884,nm0054884
Mary Barker,"1848","1913",nm0054944,nm0054944
Reginald Barker,"1886","1945",nm0054977,nm0054977
William Barker,"1868","1951",nm0055011,nm0055011
D. Barlow,\N,\N,nm0055226,nm0055226
George Barnes,"1880","1951",nm0055607,nm0055607
J.H. Barnes,"1850","1925",nm0055630,nm0055630
Justus D. Barnes,"1862","1946",nm0055661,nm0055661
Mac Barnes,"1863","1923",nm0055689,nm0055689
Chester Barnett,"1884","1947",nm0055865,nm0055865
Benjamin Barondess,\N,\N,nm0056339,nm0056339
Clarence Barr,"1876","1968",nm0056485,nm0056485
John Barr,\N,\N,nm0056525,nm0056525
Raoul Barre,"1874","1932",nm0056799,nm0056799
Pedro Barreto,"1877","1943",nm0057041,nm0057041
Franklyn Barrett,"1874","1964",nm0057136,nm0057136
Wilson Barrett,"1846","1904",nm0057316,nm0057316
J.M. Barrie,"1860","1937",nm0057381,nm0057381
Herbert Barrington,"1872","1933",nm0057482,nm0057482
Mervyn Barrington,\N,\N,nm0057491,nm0057491
Bessie Barriscale,"1884","1965",nm0057585,nm0057585
Eddie Barry,"1887","1966",nm0057986,nm0057986
Eleanor Barry,"1860","1946",nm0057988,nm0057988
Herbert Barry,\N,\N,nm0058016,nm0058016
J. Barry,\N,\N,nm0058020,nm0058020
Jean Barry,\N,\N,nm0058030,nm0058030
Viola Barry,"1894","1964",nm0058184,nm0058184
A.H. Barstar,\N,\N,nm0058328,nm0058328
H.H. Barter,"1881","1967",nm0058502,nm0058502
Lee Bartholomew,"1877","1950",nm0058686,nm0058686
Miss Bartholomew,\N,\N,nm0058690,nm0058690
Charles Bartlett,"1888",\N,nm0058792,nm0058792
Lanier Bartlett,"1879","1961",nm0058849,nm0058849
Grace Barton,"1883","1962",nm0059150,nm0059150
Aurora Baró,\N,\N,nm0059577,nm0059577
Emilia Baró,"1882","1964",nm0059578,nm0059578
Albert Bassermann,"1867","1952",nm0060168,nm0060168
Russell Bassett,"1845","1918",nm0060238,nm0060238
Henry Bataille,"1872","1922",nm0060654,nm0060654
Lucien Bataille,"1877",\N,nm0060659,nm0060659
Victory Bateman,"1865","1926",nm0060824,nm0060824
Tom Bates,"1864","1930",nm0061044,nm0061044
Gyula Batthyány,"1888","1959",nm0061392,nm0061392
Anne Bauchens,"1882","1967",nm0061640,nm0061640
Arthur Bauer,"1878",\N,nm0061746,nm0061746
Yevgeny Bauer,"1865","1917",nm0061955,nm0061955
F.P. Bayer,\N,\N,nm0062934,nm0062934
Blanche Bayliss,"1878","1951",nm0063086,nm0063086
Beverly Bayne,"1893","1982",nm0063138,nm0063138
Ugo Bazzini,\N,\N,nm0063379,nm0063379
Ramón de Baños,"1890","1980",nm0063412,nm0063412
Ricardo de Baños,"1884","1939",nm0063413,nm0063413
Rex Beach,"1877","1949",nm0063492,nm0063492
Frank Beal,"1862","1934",nm0063612,nm0063612
Scott R. Beal,"1890","1973",nm0063634,nm0063634
Frank Beamish,"1881","1921",nm0063748,nm0063748
Louise Beaudet,"1859","1947",nm0064381,nm0064381
